0--	M, 140283989721088, 64
466--	F, 140283989743008
467--	M, 140283989770448, 187
468--	F, 140283989750576
469--	F, 140283989740608
470--	F, 140283989750128
471--	F, 140283989734896
472--	F, 140283989745040
473--	F, 140283989739888
474--	F, 140283989735200
475--	M, 140283989750528, 262
476--	M, 140283989732656, 71
477--	M, 140283989743008, 408
478--	F, 140283989753760
479--	M, 140283989739888, 145
480--	M, 140283989735104, 460
481--	F, 140283989756000
482--	F, 140283989756336
483--	M, 140283989759888, 67
484--	F, 140283989755504
485--	M, 140283989755984, 395
486--	M, 140283989756384, 257
487--	F, 140283989729760
488--	F, 140283989730160
489--	F, 140283989769888
490--	M, 140283989782416, 406
491--	M, 140283989730048, 382
492--	M, 140283989734800, 206
493--	M, 140283989775744, 73
494--	M, 140283989723824, 67
495--	M, 140283989782832, 376
496--	F, 140283989762144
497--	M, 140283989769888, 243
498--	F, 140283989734432
499--	F, 140283989751936
500--	M, 140283989783216, 413
501--	M, 140283989783632, 443
502--	F, 140283989723568
503--	F, 140283989729328
504--	M, 140283989753760, 106
505--	F, 140283989767408
506--	M, 140283989762144, 104
507--	M, 140283989750128, 217
508--	M, 140283989784080, 385
509--	M, 140283989767408, 356
510--	F, 140283989721088
511--	M, 140283989784480, 492
512--	F, 140283989724864
513--	M, 140283989734432, 368
514--	F, 140283989725872
515--	F, 140283989736688
516--	F, 140283989729888
517--	M, 140283989725872, 189
518--	M, 140283989750800, 85
519--	M, 140283989765616, 99
520--	M, 140283989755504, 240
521--	F, 140283989753504
522--	M, 140283989736688, 311
523--	M, 140283989784976, 329
524--	M, 140283989785312, 497
525--	F, 140283989728640
526--	M, 140283989745040, 231
527--	F, 140283989750128
528--	F, 140283989759600
529--	M, 140283989753088, 81
530--	F, 140283989729552
531--	M, 140283989729728, 297
532--	F, 140283989758208
533--	M, 140283989758176, 383
534--	F, 140283989754720
535--	F, 140283989782064
536--	M, 140283989750128, 212
537--	M, 140283989729280, 265
538--	M, 140283989785824, 371
539--	F, 140283989772560
540--	F, 140283989766752
541--	F, 140283989755744
542--	F, 140283989730432
543--	M, 140283989759600, 259
544--	M, 140283989753504, 248
545--	M, 140283989786208, 386
546--	M, 140283989724864, 203
547--	M, 140283989786608, 414
548--	F, 140283989759312
549--	M, 140283989787024, 456
550--	M, 140283989787488, 453
551--	F, 140283989724864
552--	M, 140283989758560, 149
553--	M, 140283989755744, 225
554--	M, 140283989759312, 263
555--	M, 140283989787952, 478
556--	M, 140283989788432, 388
557--	M, 140283989766752, 284
558--	M, 140283989743424, 58
559--	M, 140283989763536, 81
560--	F, 140283989770144
561--	F, 140283989786608
562--	F, 140283989747424
563--	M, 140283989788832, 463
564--	F, 140283989775744
565--	M, 140283989723568, 234
566--	M, 140283989789296, 492
567--	M, 140283989771600, 95
568--	F, 140283989745040
569--	F, 140283989739792
570--	M, 140283989782064, 332
571--	F, 140283989762560
572--	M, 140283989789792, 453
573--	F, 140283989727664
574--	M, 140283989754720, 308
575--	F, 140283989721488
576--	M, 140283989739760, 118
577--	M, 140283989770144, 259
578--	M, 140283989727664, 396
579--	F, 140283989736048
580--	M, 140283989775744, 58
581--	F, 140283989723824
582--	M, 140283989728640, 292
583--	M, 140283989730432, 127
584--	M, 140283989762560, 298
585--	M, 140283989786608, 353
586--	F, 140283989776288
587--	M, 140283989735952, 285
588--	F, 140283989750992
589--	F, 140283989732096
590--	M, 140283989772544, 212
591--	M, 140283989790256, 389
592--	F, 140283989770736
593--	F, 140283989723568
594--	F, 140283989757280
595--	M, 140283989736240, 192
596--	M, 140283989729552, 145
597--	M, 140283989747424, 152
598--	F, 140283989775440
599--	F, 140283989737312
600--	M, 140283989770736, 480
601--	F, 140283989750352
602--	M, 140283989740608, 213
603--	M, 140283989723568, 314
604--	M, 140283989737280, 464
605--	M, 140283989790656, 339
606--	M, 140283989791008, 489
607--	M, 140283989791504, 499
608--	F, 140283989766304
609--	M, 140283989751936, 243
610--	M, 140283989776288, 239
611--	F, 140283989764864
612--	M, 140283989724864, 205
613--	F, 140283989782832
614--	M, 140283989775440, 293
615--	F, 140283989721424
616--	M, 140283989764864, 447
617--	M, 140283989766304, 385
618--	F, 140283989773504
619--	F, 140283989741904
620--	M, 140283989782832, 315
621--	F, 140283989735104
622--	M, 140283989773504, 215
623--	M, 140283989745040, 231
624--	F, 140283989762896
625--	F, 140283989761520
626--	M, 140283989735104, 493
627--	M, 140283989783152, 50
628--	M, 140283989721424, 197
629--	F, 140283989726992
630--	F, 140283989749536
631--	M, 140283989761520, 422
632--	F, 140283989783152
633--	F, 140283989763904
634--	M, 140283989762864, 339
635--	M, 140283989750352, 166
636--	F, 140283989727472
637--	M, 140283989763904, 445
638--	F, 140283989733328
639--	F, 140283989770448
640--	M, 140283989741904, 388
641--	M, 140283989792016, 479
642--	F, 140283989742384
643--	F, 140283989728384
644--	F, 140283989758720
645--	M, 140283989737008, 139
646--	F, 140283989763280
647--	M, 140283989758720, 270
648--	F, 140283989762864
649--	F, 140283989736624
650--	M, 140283989728384, 234
651--	M, 140283989762864, 453
652--	F, 140283989732368
653--	F, 140283989724608
654--	F, 140283989746304
655--	M, 140283989727424, 118
656--	F, 140283989771696
657--	M, 140283989757280, 162
658--	M, 140283989732064, 467
659--	M, 140283989792496, 481
660--	M, 140283989771696, 330
661--	F, 140283989758000
662--	F, 140283989752928
663--	M, 140283989792992, 333
664--	F, 140283989746032
665--	F, 140283989734432
666--	M, 140283989746016, 418
667--	F, 140283989792992
668--	M, 140283989749536, 287
669--	F, 140283989762272
670--	M, 140283989793328, 440
671--	F, 140283989779408
672--	M, 140283989736624, 64
673--	F, 140283989721232
674--	M, 140283989779408, 372
675--	F, 140283989745040
676--	M, 140283989724608, 246
677--	F, 140283989770672
678--	F, 140283989734800
679--	F, 140283989747904
680--	F, 140283989762560
681--	F, 140283989745744
682--	F, 140283989729280
683--	F, 140283989786208
684--	M, 140283989747872, 449
685--	F, 140283989743840
686--	M, 140283989732544, 100
687--	M, 140283989763328, 177
688--	F, 140283989771696
689--	M, 140283989734800, 205
690--	M, 140283989762256, 471
691--	M, 140283989786208, 382
692--	F, 140283989752720
693--	F, 140283989721424
694--	M, 140283989743840, 384
695--	F, 140283989755744
696--	F, 140283989728080
697--	F, 140283989725232
698--	M, 140283989721088, 493
699--	M, 140283989733328, 191
700--	M, 140283989771696, 417
701--	M, 140283989762736, 115
702--	F, 140283989721088
703--	F, 140283989736240
704--	F, 140283989772160
705--	M, 140283989721088, 422
706--	M, 140283989793776, 394
707--	M, 140283989794176, 422
708--	F, 140283989757072
709--	F, 140283989763904
710--	M, 140283989763904, 414
711--	M, 140283989794608, 438
712--	F, 140283989769408
713--	M, 140283989769408, 392
714--	F, 140283989783216
715--	M, 140283989728064, 315
716--	M, 140283989795056, 494
717--	F, 140283989747616
718--	F, 140283989731216
719--	M, 140283989783152, 432
720--	F, 140283989732736
721--	M, 140283989747584, 288
722--	F, 140283989743008
723--	F, 140283989721088
724--	M, 140283989770416, 293
725--	F, 140283989762736
726--	F, 140283989734096
727--	F, 140283989755040
728--	M, 140283989769808, 79
729--	M, 140283989736240, 151
730--	M, 140283989792992, 323
731--	F, 140283989775824
732--	F, 140283989787488
733--	M, 140283989721088, 482
734--	M, 140283989726960, 313
735--	M, 140283989757072, 173
736--	F, 140283989785312
737--	F, 140283989781184
738--	F, 140283989759312
739--	M, 140283989757952, 197
740--	M, 140283989721584, 141
741--	M, 140283989731216, 110
742--	M, 140283989755744, 165
743--	M, 140283989787488, 445
744--	M, 140283989755040, 437
745--	M, 140283989745040, 188
746--	F, 140283989767888
747--	M, 140283989729280, 267
748--	M, 140283989762736, 121
749--	F, 140283989744432
750--	M, 140283989744432, 143
751--	M, 140283989752720, 354
752--	M, 140283989743008, 411
753--	M, 140283989775808, 475
754--	M, 140283989755920, 55
755--	F, 140283989765616
756--	M, 140283989785312, 492
757--	M, 140283989764320, 61
758--	M, 140283989767888, 115
759--	F, 140283989766752
760--	F, 140283989747056
761--	M, 140283989732736, 429
762--	M, 140283989772128, 231
763--	M, 140283989734096, 436
764--	F, 140283989791504
765--	F, 140283989768144
766--	F, 140283989723904
767--	F, 140283989767056
768--	F, 140283989736624
769--	F, 140283989727664
770--	M, 140283989750992, 66
771--	M, 140283989747056, 366
772--	F, 140283989740176
773--	M, 140283989734544, 193
774--	M, 140283989759312, 276
775--	F, 140283989774624
776--	F, 140283989759312
777--	F, 140283989761520
778--	F, 140283989733536
779--	M, 140283989733536, 95
780--	F, 140283989766000
781--	M, 140283989745744, 230
782--	F, 140283989771216
783--	F, 140283989751936
784--	M, 140283989791504, 473
785--	M, 140283989742304, 263
786--	M, 140283989751936, 210
787--	F, 140283989755744
788--	F, 140283989764320
789--	M, 140283989725232, 350
790--	F, 140283989755984
791--	M, 140283989759312, 247
792--	M, 140283989766704, 453
793--	F, 140283989742304
794--	M, 140283989766000, 286
795--	M, 140283989767168, 102
796--	M, 140283989746448, 77
797--	M, 140283989723888, 314
798--	M, 140283989795552, 463
799--	F, 140283989780352
800--	M, 140283989742304, 184
801--	F, 140283989753872
802--	M, 140283989780352, 183
803--	M, 140283989755984, 397
804--	F, 140283989786608
805--	F, 140283989744576
806--	M, 140283989771216, 229
807--	M, 140283989768016, 437
808--	F, 140283989763904
809--	M, 140283989780544, 189
810--	F, 140283989725872
811--	F, 140283989750800
812--	M, 140283989725872, 191
813--	F, 140283989766704
814--	F, 140283989744432
815--	M, 140283989750800, 96
816--	M, 140283989744576, 224
817--	M, 140283989766704, 462
818--	F, 140283989793776
819--	F, 140283989762864
820--	M, 140283989793776, 320
821--	M, 140283989762864, 437
822--	M, 140283989774608, 259
823--	M, 140283989763904, 465
824--	F, 140283989770416
825--	F, 140283989777328
826--	F, 140283989784976
827--	M, 140283989777328, 381
828--	M, 140283989786592, 410
829--	F, 140283989771600
830--	M, 140283989774880, 122
831--	M, 140283989736624, 55
832--	M, 140283989727664, 347
833--	F, 140283989727552
834--	M, 140283989753872, 470
835--	F, 140283989755040
836--	M, 140283989771456, 205
837--	F, 140283989784480
838--	M, 140283989781184, 325
839--	F, 140283989758560
840--	M, 140283989761520, 413
841--	M, 140283989740176, 334
842--	M, 140283989794096, 73
843--	F, 140283989730832
844--	M, 140283989730832, 211
845--	M, 140283989740512, 86
846--	M, 140283989755040, 396
847--	M, 140283989784480, 417
848--	M, 140283989770416, 219
849--	M, 140283989744432, 134
850--	M, 140283989796016, 468
851--	M, 140283989784912, 278
852--	M, 140283989796496, 450
853--	F, 140283989780352
854--	M, 140283989796960, 380
855--	F, 140283989739760
856--	M, 140283989797344, 379
857--	F, 140283989772384
858--	M, 140283989797728, 264
859--	M, 140283989798000, 442
860--	F, 140283989777328
861--	F, 140283989750896
862--	M, 140283989798448, 496
863--	M, 140283989780352, 186
864--	M, 140283989777328, 315
865--	F, 140283989782416
866--	F, 140283989745040
867--	F, 140283989762864
868--	M, 140283989745040, 191
869--	F, 140283989782832
870--	M, 140283989762864, 269
871--	M, 140283989782400, 434
872--	F, 140283989722848
873--	M, 140283989798944, 456
874--	M, 140283989799408, 460
875--	F, 140283989798000
876--	M, 140283989722848, 235
877--	F, 140283989787024
878--	F, 140283989776528
879--	F, 140283989763328
880--	M, 140283989782848, 296
881--	F, 140283989765744
882--	M, 140283989765616, 329
883--	M, 140283989776528, 358
884--	F, 140283989743840
885--	F, 140283989755984
886--	F, 140283989751936
887--	M, 140283989743840, 435
888--	F, 140283989783152
889--	F, 140283989729728
890--	M, 140283989785200, 103
891--	M, 140283989758560, 132
892--	M, 140283989772368, 176
893--	F, 140283989766000
894--	F, 140283989767888
895--	M, 140283989744800, 154
896--	F, 140283989781584
897--	F, 140283989744800
898--	F, 140283989747056
899--	F, 140283989773072
900--	M, 140283989783152, 471
901--	M, 140283989729712, 300
902--	F, 140283989737776
903--	M, 140283989781520, 256
904--	M, 140283989751936, 205
905--	M, 140283989787008, 462
906--	F, 140283989767280
907--	M, 140283989737744, 192
908--	M, 140283989765952, 337
909--	M, 140283989763136, 393
910--	F, 140283989778480
911--	F, 140283989748784
912--	F, 140283989793328
913--	F, 140283989745280
914--	F, 140283989728960
915--	F, 140283989743680
916--	F, 140283989775440
917--	M, 140283989793328, 447
918--	F, 140283989785312
919--	F, 140283989750800
920--	F, 140283989770416
921--	F, 140283989756688
922--	M, 140283989775440, 284
923--	M, 140283989747056, 367
924--	M, 140283989767280, 115
925--	F, 140283989765616
926--	F, 140283989746448
927--	F, 140283989778160
928--	F, 140283989725072
929--	F, 140283989763136
930--	M, 140283989748784, 236
931--	F, 140283989796016
932--	F, 140283989780352
933--	M, 140283989770416, 199
934--	F, 140283989774608
935--	M, 140283989796016, 452
936--	F, 140283989768464
937--	M, 140283989774608, 250
938--	M, 140283989765616, 263
939--	M, 140283989768464, 452
940--	F, 140283989750528
941--	M, 140283989763136, 336
942--	M, 140283989755984, 371
943--	F, 140283989779856
944--	M, 140283989773072, 404
945--	F, 140283989765616
946--	M, 140283989756656, 175
947--	M, 140283989737936, 71
948--	F, 140283989736624
949--	F, 140283989723568
950--	F, 140283989769888
951--	M, 140283989785312, 499
952--	M, 140283989723568, 284
953--	F, 140283989755040
954--	F, 140283989754720
955--	M, 140283989798000, 409
956--	F, 140283989793776
957--	M, 140283989769888, 210
958--	F, 140283989731216
959--	F, 140283989732736
960--	F, 140283989729280
961--	F, 140283989724608
962--	M, 140283989732736, 390
963--	M, 140283989767888, 114
964--	M, 140283989742496, 78
965--	M, 140283989739760, 122
966--	M, 140283989724608, 202
967--	M, 140283989729280, 222
968--	M, 140283989793776, 258
969--	F, 140283989738352
970--	F, 140283989728384
971--	M, 140283989746448, 88
972--	F, 140283989761520
973--	F, 140283989744976
974--	F, 140283989740096
975--	M, 140283989725072, 149
976--	M, 140283989728944, 113
977--	M, 140283989738352, 199
978--	M, 140283989761520, 338
979--	M, 140283989750528, 411
980--	F, 140283989750128
981--	M, 140283989750128, 221
982--	M, 140283989761872, 67
983--	M, 140283989745232, 410
984--	F, 140283989743488
985--	M, 140283989779792, 338
986--	F, 140283989726544
987--	F, 140283989731760
988--	M, 140283989765616, 316
989--	F, 140283989796960
990--	M, 140283989731760, 274
991--	M, 140283989796960, 264
992--	M, 140283989743488, 169
993--	F, 140283989770416
994--	F, 140283989763904
995--	F, 140283989749056
996--	F, 140283989725232
997--	F, 140283989773728
998--	M, 140283989725232, 322
999--	F, 140283989750992
1000--	F, 140283989726960
1001--	F, 140283989745040
1002--	M, 140283989763904, 413
1003--	M, 140283989749024, 495
1004--	M, 140283989773728, 400
1005--	F, 140283989725072
1006--	F, 140283989725232
1007--	F, 140283989775744
